id,title,date_time,Date,Time,neg,neu,pos,compound
4044828,Inflation and consumer trends might still negatively impact the market in 2024 - analyst,2023-12-08 13:09:42-05:00,2023-12-08,13:09:42,0.0,1.0,0.0,0.0
4044447,"Cyclical value and small caps are set to outperform, according to Stifel’s 6-month outlook",2023-12-07 12:56:15-05:00,2023-12-07,12:56:15,0.0,0.844,0.156,0.34
4044446,Indian automakers do not want Tesla to catch a break on import taxes,2023-12-07 12:48:37-05:00,2023-12-07,12:48:37,0.1,0.9,0.0,-0.0572
4044158,Elon Musk's artificial intelligence startup xAI: A timeline of notable events,2023-12-06 18:55:34-05:00,2023-12-06,18:55:34,0.0,0.744,0.256,0.4767
4043989,"Electric vehicle, boating and RV stocks could benefit as high-interest rate worries fade",2023-12-06 12:24:59-05:00,2023-12-06,12:24:59,0.167,0.655,0.179,0.0516
4043976,30 Stocks shunned by hedge and mutual funds - GS,2023-12-06 11:38:31-05:00,2023-12-06,11:38:31,0.0,1.0,0.0,0.0
4043955,"Top stocks with highest hedge fund + mutual fund positions, according to GS",2023-12-06 11:15:12-05:00,2023-12-06,11:15:12,0.0,0.859,0.141,0.2023
4043905,Elon Musk denies xAI is raising money 'right now',2023-12-06 10:04:55-05:00,2023-12-06,10:04:55,0.259,0.741,0.0,-0.4215
4043574,Elon Musk's xAI startup files to raise up to $1B in equity offering,2023-12-05 15:50:04-05:00,2023-12-05,15:50:04,0.0,1.0,0.0,0.0
4043413,"Goldman Sachs: Top 30 mutual fund underweight holdings, including Apple and Tesla",2023-12-05 09:54:36-05:00,2023-12-05,09:54:36,0.0,0.859,0.141,0.2023
4043319,Tesla faces sympathy strike actions in Denmark,2023-12-05 07:01:08-05:00,2023-12-05,07:01:08,0.167,0.556,0.278,0.25
4042708,"Tesla's China-made EV sales surged 14% M/M, but fell 18% Y/Y",2023-12-04 06:53:50-05:00,2023-12-04,06:53:50,0.0,1.0,0.0,0.0
4042161,Tesla's Cybertruck launch has analysts buzzing over the master plan,2023-12-01 07:47:09-05:00,2023-12-01,07:47:09,0.0,1.0,0.0,0.0
4041978,Tesla delivers first Cybertrucks as it looks to shake up the electric truck segment,2023-11-30 15:46:02-05:00,2023-11-30,15:46:02,0.116,0.884,0.0,-0.1779
4041690,Meme stocks are gaining traction,2023-11-30 08:19:34-05:00,2023-11-30,08:19:34,0.0,0.588,0.412,0.4215
4041459,"The UAW goes electric with unionization efforts aimed at Tesla, Rivian and Lucid",2023-11-29 15:45:51-05:00,2023-11-29,15:45:51,0.0,1.0,0.0,0.0
4041200,Biden EV rule will impact qualifications for subsidies - report,2023-11-29 11:40:01-05:00,2023-11-29,11:40:01,0.0,1.0,0.0,0.0
4041211,What’s behind Fred Hickey’s put on Broadcom,2023-11-29 10:46:53-05:00,2023-11-29,10:46:53,0.0,1.0,0.0,0.0
4041208,Consumer Reports names the best and worst auto brands for reliability,2023-11-29 10:39:59-05:00,2023-11-29,10:39:59,0.237,0.52,0.243,0.0258
4041114,Jabil plunges on guidance cut; Stifel says buy on weakness,2023-11-29 08:41:13-05:00,2023-11-29,08:41:13,0.38,0.62,0.0,-0.5994
4040851,S&P 500’s biggest names will continue to dominate the market in 2024 – strategist,2023-11-28 13:28:45-05:00,2023-11-28,13:28:45,0.111,0.889,0.0,-0.128
4040812,Tesla's Cybertruck is finally here - will the launch create a halo effect?,2023-11-28 12:31:03-05:00,2023-11-28,12:31:03,0.0,0.826,0.174,0.2732
4040481,EV jolt: Bernstein says BYD should be much closer in valuation to Tesla,2023-11-27 13:25:21-05:00,2023-11-27,13:25:21,0.0,1.0,0.0,0.0
4040273,Tesla sues Swedish government agency over strike impact,2023-11-27 08:07:20-05:00,2023-11-27,08:07:20,0.176,0.824,0.0,-0.128
4040167,Tesla's union problems in Sweden include trash piling up and no mail service,2023-11-25 10:30:39-05:00,2023-11-25,10:30:39,0.308,0.692,0.0,-0.5994
4040118,Top equities with the largest retail order imbalance – JPM strategy,2023-11-24 11:33:13-05:00,2023-11-24,11:33:13,0.0,0.833,0.167,0.2023
4040061,Four key calls for U.S. equities in 2024 – strategists,2023-11-24 09:26:44-05:00,2023-11-24,09:26:44,0.0,1.0,0.0,0.0
4040020,Tesla's plans for India appear to be heating up,2023-11-24 08:25:00-05:00,2023-11-24,08:25:00,0.0,1.0,0.0,0.0
4039712,"Top gainers and laggards in S&P, DJI, and NDX on Wednesday",2023-11-22 13:33:43-05:00,2023-11-22,13:33:43,0.0,0.847,0.153,0.2023
4039652,Congressmen ask SEC to probe Elon Musk over Neuralink comments: report,2023-11-22 10:52:42-05:00,2023-11-22,10:52:42,0.0,1.0,0.0,0.0
4039595,Increased market concentration doesn’t necessarily mean market stress - RBC Capital Markets,2023-11-22 09:35:26-05:00,2023-11-22,09:35:26,0.201,0.647,0.151,-0.1779
4039405,"Elon Musk, Tesla engineers were aware of Autopilot defect - judge",2023-11-22 03:55:59-05:00,2023-11-22,03:55:59,0.211,0.789,0.0,-0.34
4038558,Magnificent 7 account for nearly a fifth of global stock market influence,2023-11-20 08:41:11-05:00,2023-11-20,08:41:11,0.0,0.698,0.302,0.5994
4038416,Tesla investors warn the brand may have an Elon Musk problem,2023-11-18 09:07:15-05:00,2023-11-18,09:07:15,0.313,0.687,0.0,-0.4767
4038407,Short seller Jim Chanos closing down hedge funds - report,2023-11-17 17:54:40-05:00,2023-11-17,17:54:40,0.0,1.0,0.0,0.0
4038149,The 12 least expected market outcomes of '24 - and how to trade them,2023-11-17 08:31:54-05:00,2023-11-17,08:31:54,0.0,1.0,0.0,0.0
4037293,Goldman Sachs channels Taylor Swift for its 2024 stock market forecast,2023-11-15 16:48:58-05:00,2023-11-15,16:48:58,0.0,0.847,0.153,0.2023
4037247,"Coatue Management trims stakes in five Magnificent 7 members, adds Palantir, Shopify",2023-11-15 15:54:50-05:00,2023-11-15,15:54:50,0.0,0.719,0.281,0.5994
4037000,"Investing in quality, growth and beaten-down cyclicals is the key to 2024’s S&P 500",2023-11-15 09:44:56-05:00,2023-11-15,09:44:56,0.0,0.833,0.167,0.3818
